Sample_ID,raw_reads
ucin309,2082515
ucin301,2569876
ucin321,5319394
ucin330,999515
ucin379,7168214
ucin424,5128185
ucin356,5186195
ucin339,800332
ucin269,5034219
ucin412,3024800
ucin346,7340791
ucin400,4226171
ucin001,3279546
ucin013re,9929849
ucin026,5786604
ucin089,2815892
ucin112,2210635
ucin056conc,2265955
ucin035,4017816
ucin104,4994650
ucin043,2382768
ucin096,7054145
ucin143,762767
ucin135,158533
ucin153conc,979503
ucin164re,453920
ucin232,4478608
ucin263,1641756
ucin223,173124
ucin203conc,84297
ucin122re,457481
ucin253,2467553
ucin215,640874
ucin241,3336001
ucin139,1480574
ucin127,2290440
ucin148,4424745
ucin159conc,2917061
ucin227conc,3523783
ucin259,3782273
ucin219,719435
ucin170conc,2446481
ucin118conc,4135876
ucin244,1843345
ucin207,5021952
ucin237,4558290
ucin362z,235386
ucin357z,194506
ucin384REz,36536
ucin410z,325117
ucin421z,2674787
ucin430z,4847576
ucin418z,28044
ucin411z,936162
ucin353z,247166
ucin428z,9983742
ucin417z,475604
ucin423z,2021565
ucin003,2635930
ucin017,3856983
ucin029,1887531
ucin024replicate,3131398
ucin115re,4994585
ucin065,5273428
ucin037,1223973
ucin106,4593693
ucin045,1493802
ucin098,5252014
ucin144,593915
ucin136,111283
ucin154re,210269
ucin165conc,164752
ucin233,1349386
ucin264,1631281
ucin224,19332
ucin204conc,103065
ucin124,176829
ucin256,1033073
ucin216,228789
ucin242,717429
ucin142,2959175
ucin133,1228756
ucin152,1770082
ucin162conc,2645684
ucin231,4744589
ucin262reconc,5966969
ucin222,1125096
ucin182conc,1114030
ucin121conc,2470192
ucin251,5062426
ucin213conc,280788
ucin240,6225772
ucin147z,1380237
ucin134z,859785
ucin150z,1155097
ucin163z,6509482
ucin214z,1188394
ucin246z,1694775
ucin179REz,715885
ucin166z,705596
ucin131z,988268
ucin235z,2645200
ucin169z,671230
ucin228z,5285460
ucin140,2574705
ucin128,2968451
ucin149,3106919
ucin160re,2027199
ucin229,1783516
ucin260reconc,3841177
ucin220,620633
ucin178,745705
ucin119re,3104990
ucin245,2798761
ucin208,1525071
ucin238,1215247
ucin307,1638414
ucin279conc,1695488
ucin316,3578318
ucin328,3238373
ucin364conc,3265299
ucin420,2126421
ucin354,3476345
ucin337,2121311
ucin267,4407841
ucin408re,14631558
ucin344,4894639
ucin386,3747904
ucin427RE,2926198
ucin413replicate,11782849
ucin009z,8564772
ucin010REz,7889252
ucin048z,1536265
ucin057z,2949889
ucin046z,1844414
ucin011REz,4388831
ucin407RE,2997970
ucin052z,2554566
ucin018z,2606593
ucin049z,2893025
ucin008,11233465
ucin024,4018490
ucin083,3334685
ucin111,2780202
ucin055,687372
ucin034,4938267
ucin103,1974831
ucin042conc,2067897
ucin095,5530458
ucin005,11687962
ucin021,6638030
ucin074,3155298
ucin108,2001792
ucin050,30409409
ucin031,2526274
ucin100,5367530
ucin039conc,7792857
ucin092,387834
ucin311,188181
ucin303,797596
ucin323,1365799
ucin332,1406128
ucin381,1747513
ucin426,1364688
ucin359,2147561
ucin341conc,1264618
ucin273,3615934
ucin414,1277637
ucin348,2549484
ucin402,3215518
ucin002,3362150
ucin016,5464979
ucin028,3071602
ucin090,2200227
ucin113,5485503
ucin059,4348733
ucin036conc,2428021
ucin105,4689674
ucin044conc,6370725
ucin097,4223948
ucin310conc,1350402
ucin302,1067839
ucin322,902475
ucin331,586070
ucin380conc,3778380
ucin425,3200573
ucin358conc,813281
ucin340,235426
ucin270,1878292
ucin413,4468789
ucin347conc,4007185
ucin401,7356562
ucin007,16582015
ucin023,3978253
ucin081,2217492
ucin110,3330104
ucin054,2893397
ucin033,5535185
ucin102,3863125
ucin041,2053225
ucin094,1685669
ucin276z,1187364
ucin271REz,725174
ucin277z,896504
ucin278z,1784498
ucin320z,3720499
ucin352z,38977913
ucin319z,434572
ucin314z,2161934
ucin252z,1399440
ucin335z,5560297
ucin317z,1573947
ucin324z,5640482
ucin308,734845
ucin300,2455640
ucin318,1731490
ucin329,4426579
ucin365,2078196
ucin422,694284
ucin355,10242908
ucin338,1286388
ucin268,4140402
ucin409,3132552
ucin345re,3642743
ucin399,5751063
ucin061z,2702597
ucin060z,2541992
ucin062z,3507893
ucin076z,3768565
ucin080z,4652438
ucin130z,4432454
ucin079z,4452384
ucin077z,2205141
ucin058z,3054795
ucin129z,2807860
ucin078z,4522274
ucin123z,3725628
ucin434,1996692
ucin433,3348773
ucin435,3670067
ucin436,6681695
ucin210RE,4987978
ucin406RE,10873092
ucin063RE,3973008
ucin437,1919700
ucin432z,1893355
ucin212RE,4986855
ucin012RE,22400287
ucin211RE,9515413
ucin137,4815978
ucin125,2322093
ucin145,3407838
ucin156re,5182371
ucin225,3083207
ucin257,5562925
ucin217,6547560
ucin167conc,1963958
ucin116conc,1779835
ucin236replicate,3046377
ucin205,5179374
ucin234,3586471
ucin006conc,11525289
ucin022,4882553
ucin075,2065836
ucin109,2836141
ucin053conc,4417342
ucin032,3250461
ucin101,2002804
ucin040,6449676
ucin093,2526041
ucin004conc,20614903
ucin020,3169654
ucin068B,2555279
ucin107,3372570
ucin047conc,3328721
ucin030,2840551
ucin099,2982771
ucin038conc,1917080
ucin091,2770279
ucin141,3285363
ucin132,1167043
ucin151,1989301
ucin161conc,1516586
ucin230,4549908
ucin261,2480680
ucin221,872799
ucin181conc,717028
ucin120conc,1725070
ucin249,3767676
ucin209,3172966
ucin239,5280885
ucin305,1220625
ucin274re,1724529
ucin313,3442963
ucin326conc,2390208
ucin361,8463881
ucin416,6263010
ucin350,3510536
ucin334re,3225645
ucin265conc,2292415
ucin404,6152922
ucin279concreplicate,5454535
ucin383,6254768
ucin306,5316977
ucin275,4506003
ucin315,2180095
ucin327re,2961557
ucin363,2404850
ucin419conc,6625409
ucin351re,7381685
ucin336,1107176
ucin266reconc,4439786
ucin405,5378310
ucin343conc,2932547
ucin385,2003253
ucin138,1883393
ucin126,3192139
ucin146,3962504
ucin157conc,1514904
ucin226,904023
ucin258,2468297
ucin218,1056627
ucin168,1458867
ucin117conc,1571981
ucin243,3365909
ucin206,4995989
ucin236,2052584
ucin312,133527
ucin304,121030
ucin325re,97384
ucin333,93490
ucin382,424444
ucin429,168805
ucin360,530132
ucin342re,48112
ucin261replicate,351430
ucin415,192841
ucin349conc,306160
ucin431z,219453
